Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
14,-4.442676692,-1.57858784,27.10304944,-1.419844312,-0.401273804,2.605080908,-1.303510458,-1.56769248,7.780662071,-0.649152291,-1.167628773,1.553491056
14,-9.55796369,-6.473808962,2.258320785,-1.9266406,-1.08217247,-0.403793763,-2.706039055,-3.252791586,-0.643538199,23.38180343,-1.795454662,5.165885534
14,-20.30391275,-14.67645169,-2.612940924,-4.063837523,0.04330598,-3.110276729,-6.428002152,-4.288414438,-1.17997004,-0.484063105,75.73923802,4.992991353
14,-33.05799562,-30.04220991,3.015518197,-8.94945381,6.270433053,7.093477705,1.832854571,4.552362269,1.867360934,9.059551199,4.828062251,36.39961392
15,68.63233309,-35.82149891,-7.005078253,-28.91448683,-1.135514606,-14.96874945,-1.967177153,-6.791922337,-2.847300754,-17.45624041,-17.30678318,-11.85455662
15,-35.56272722,98.25577023,-6.807114276,-27.82624037,5.163388922,-13.96810949,-13.84962958,6.122146732,-2.254177495,-14.0428887,-9.960911924,-35.56287166
15,-6.933464497,-6.941497663,25.12132802,-2.600711127,-0.421503232,8.4358985,-2.915539434,-3.133001081,5.889754191,1.690604541,0.443023419,3.838472024
15,-28.67825008,-27.68699181,-2.843776512,124.6880641,-1.513623811,-4.177051134,-10.79732058,-13.79050853,-1.76692246,-10.43678834,-8.540051022,-12.13687764
15,-1.108272728,5.533826272,-0.425591584,-1.542746894,-0.088426736,-1.072943053,-1.016675742,0.627799048,-0.211971884,-1.186017517,0.237305142,-2.547809336
15,-15.09248742,-13.90010783,10.36241591,-4.524515613,-1.098441965,62.5764463,-7.631047246,-2.638698102,-0.499488584,0.901210045,-6.208719516,0.845988029
15,-1.170181072,-13.58807628,-2.903796056,-10.51864079,-1.044017817,-7.799078616,64.13863535,-6.619810247,-1.214103012,-7.522682189,-6.078336748,0.760347856
15,-7.686760415,6.087635981,-3.298100161,-14.09585338,0.620981312,-2.671776836,-6.63182397,31.81629441,-0.563259651,-8.381431644,-5.435177019,-2.669516192
15,-3.250919352,-2.179036352,3.737260135,-1.769845434,4.405469699,-0.490443033,-1.202222878,-1.740657941,-0.140216915,3.211253129,-1.052062362,4.177856914
15,-17.92222031,-14.94537631,1.410113496,-10.46913117,-0.290572222,1.311277379,-7.588358765,-8.669004402,1.706771498,61.39370005,1.806179632,-1.306151331
15,-17.14767243,-9.436243953,0.461267979,-8.550862292,0.263652783,-6.232065473,-5.936999067,-5.286838763,-1.054952945,4.200161976,59.70338166,7.007051074
15,-12.76012936,-37.94705864,4.823037069,-12.44426789,-1.925834452,0.895657525,-0.289069242,-3.789759079,4.300097123,4.025197377,7.11041448,30.6152949
16,58.99066277,-30.0917808,-7.282427534,-29.17504371,,-19.99447199,-2.020045493,-10.62475469,-4.705195598,-17.1408303,-1.132277034,-4.767060212
16,-30.29508651,96.21911412,-6.655632386,-23.72927084,,-19.20457889,-12.8974249,-0.218856182,-4.648120159,-16.62963582,-0.878355605,-25.20549892
16,-7.608335941,-6.400739761,30.37095772,-5.308711137,,2.882636469,-4.539276546,-4.950747562,11.51068919,15.57174326,-0.192594419,2.878755188
16,-28.7555769,-23.31866309,-5.264008834,88.26370866,,-2.376384863,-12.70863118,-14.31299865,-2.904364959,-11.63846309,-0.557657685,1.664584272
16,,,,,,,,,,,,
16,-19.45736961,-19.29664732,3.638077943,-2.375034396,,51.60668669,-12.93101654,-1.601116718,0.04629685,-4.744803942,-0.591532105,4.983029634
16,-1.195608917,-12.90782941,-4.58695972,-12.70531033,,-12.79952763,56.51139492,-6.182299928,-2.561883808,-9.883724818,-0.476016555,0.734017865
16,-10.38083056,-0.734763809,-4.823105743,-14.21681863,,-1.464358106,-6.439771438,32.51201418,-3.244002697,-12.85282187,-0.678962878,0.476461969
